"filename", "language", "C++", "TypeScript", "JSON with Comments", "JSON", "HTML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\VS Code stuff\ai-programming-agent\frontend\api-client\AgentApiClient.cpp", "C++", -225, 0, 0, 0, 0, 0, 0, -18, -52, -295
"d:\VS Code stuff\ai-programming-agent\frontend\api-client\AgentApiClient.h", "C++", -47, 0, 0, 0, 0, 0, 0, -14, -17, -78
"d:\VS Code stuff\ai-programming-agent\frontend\api-client\EventStreamClient.cpp", "C++", -160, 0, 0, 0, 0, 0, 0, -23, -35, -218
"d:\VS Code stuff\ai-programming-agent\frontend\api-client\EventStreamClient.h", "C++", -35, 0, 0, 0, 0, 0, 0, -11, -13, -59
"d:\VS Code stuff\ai-programming-agent\frontend\app\TuiApplication.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\components\DiffViewer.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\components\InputBox.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\components\LogPanel.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\components\MessageList.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\components\StatusPanel.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\state\EventStore.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\state\TaskStateModel.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\state\UiState.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\views\ChatView.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\views\HistoryView.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\views\PermissionDialog.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\views\TaskView.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\views\ToolOutputView.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\views\WorkspaceView.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\VS Code stuff\ai-programming-agent\frontend\web\index.html", "HTML", 0, 0, 0, 0, -12, 0, 0, 0, -1, -13
"d:\VS Code stuff\ai-programming-agent\frontend\web\package-lock.json", "JSON", 0, 0, 0, -3898, 0, 0, 0, 0, -1, -3899
"d:\VS Code stuff\ai-programming-agent\frontend\web\package.json", "JSON", 0, 0, 0, -29, 0, 0, 0, 0, -1, -30
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -208, 0, 0, -16, -224
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\api\client.ts", "TypeScript", 0, -52, 0, 0, 0, 0, 0, 0, -14, -66
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\api\endpoints.ts", "TypeScript", 0, -46, 0, 0, 0, 0, 0, 0, -2, -48
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\api\healthApi.ts", "TypeScript", 0, -6, 0, 0, 0, 0, 0, 0, -2, -8
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\api\permissionApi.ts", "TypeScript", 0, -19, 0, 0, 0, 0, 0, 0, -4, -23
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\api\taskApi.ts", "TypeScript", 0, -101, 0, 0, 0, 0, 0, 0, -16, -117
"d:\VS Code stuff\ai-programming-agent\frontend\web\src\api\workspaceApi.ts", "TypeScript", 0, -14, 0, 0, 0, 0, 0, 0, -5, -19
