"filename", "language", "C++", "reStructuredText", "C", "comment", "blank", "total"
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\LogConfig.cpp", "C++", -96, 0, 0, -23, -27, -146
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\LogConfig.h", "C++", -26, 0, 0, -19, -10, -55
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\Logger.cpp", "C++", -124, 0, 0, -48, -31, -203
"d:\VS Code stuff\ai-programming-agent\modules\common\logging\Logger.h", "C++", -114, 0, 0, -30, -21, -165
"d:\VS Code stuff\ai-programming-agent\third_party\cpp-httplib\httplib.h", "C++", 16306, 0, 0, 1281, 3165, 20752
"d:\VS Code stuff\ai-programming-agent\third_party\nlohmann_json\json.hpp", "C++", 17980, 0, 0, 4492, 3055, 25527
"d:\VS Code stuff\ai-programming-agent\third_party\nlohmann_json\nlohmann\json.hpp", "C++", 17980, 0, 0, 4492, 3055, 25527
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\async.h", "C++", 65, 0, 0, 18, 18, 101
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\async_logger-inl.h", "C++", 64, 0, 0, 9, 14, 87
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\async_logger.h", "C++", 46, 0, 0, 14, 15, 75
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\cfg\argv.h", "C++", 20, 0, 0, 12, 9, 41
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\cfg\env.h", "C++", 14, 0, 0, 17, 6, 37
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\cfg\helpers-inl.h", "C++", 79, 0, 0, 13, 16, 108
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\cfg\helpers.h", "C++", 13, 0, 0, 11, 6, 30
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\common-inl.h", "C++", 49, 0, 0, 3, 17, 69
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\common.h", "C++", 320, 0, 0, 27, 65, 412
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\backtracer-inl.h", "C++", 50, 0, 0, 3, 11, 64
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\backtracer.h", "C++", 29, 0, 0, 5, 12, 46
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\circular_q.h", "C++", 75, 0, 0, 17, 24, 116
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\console_globals.h", "C++", 21, 0, 0, 2, 6, 29
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\file_helper-inl.h", "C++", 102, 0, 0, 24, 27, 153
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\file_helper.h", "C++", 33, 0, 0, 18, 11, 62
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\fmt_helper.h", "C++", 113, 0, 0, 13, 16, 142
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\log_msg-inl.h", "C++", 34, 0, 0, 2, 9, 45
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\log_msg.h", "C++", 30, 0, 0, 3, 8, 41
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\log_msg_buffer-inl.h", "C++", 42, 0, 0, 2, 11, 55
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\log_msg_buffer.h", "C++", 20, 0, 0, 4, 9, 33
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\mpmc_blocking_q.h", "C++", 131, 0, 0, 20, 27, 178
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\null_mutex.h", "C++", 23, 0, 0, 3, 10, 36
"d:\VS Code stuff\ai-programming-agent\third_party\spdlog\include\spdlog\details\os-inl.h", "C++", 474, 0, 0, 41, 80, 595
